still_image,source_catalog_entry,timestamp
cpb-aacip-058a21352e3_03765094_01235269_01235267.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:20:35.267
cpb-aacip-058a21352e3_03765094_01260527_01260525.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:21:00.525
cpb-aacip-058a21352e3_03765094_01307908_01307906.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:21:47.906
cpb-aacip-058a21352e3_03765094_01441008_01441006.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:24:01.006
cpb-aacip-058a21352e3_03765094_01480380_01480378.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:24:40.378
cpb-aacip-058a21352e3_03765094_02417017_02417014.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:40:17.014
cpb-aacip-058a21352e3_03765094_02454021_02454018.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:40:54.018
cpb-aacip-058a21352e3_03765094_02472639_02472636.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:41:12.636
cpb-aacip-058a21352e3_03765094_02490390_02490387.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:41:30.387
cpb-aacip-058a21352e3_03765094_02529530_02529527.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:42:09.527
cpb-aacip-058a21352e3_03765094_02549650_02549647.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:42:29.647
cpb-aacip-058a21352e3_03765094_02566533_02566530.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:42:46.530
cpb-aacip-058a21352e3_03765094_02610878_02610874.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:43:30.874
cpb-aacip-058a21352e3_03765094_02665899_02665896.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:44:25.896
cpb-aacip-058a21352e3_03765094_02684251_02684248.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:44:44.248
cpb-aacip-058a21352e3_03765094_02741642_02741638.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:45:41.638
cpb-aacip-058a21352e3_03765094_02759893_02759890.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:45:59.890
cpb-aacip-058a21352e3_03765094_02845379_02845375.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:47:25.375
cpb-aacip-058a21352e3_03765094_02946280_02946276.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:49:06.276
cpb-aacip-058a21352e3_03765094_03019019_03019016.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:50:19.016
cpb-aacip-058a21352e3_03765094_03037404_03037401.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:50:37.401
cpb-aacip-058a21352e3_03765094_03107007_03107003.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:51:47.003
cpb-aacip-058a21352e3_03765094_03122656_03122652.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:52:02.652
cpb-aacip-058a21352e3_03765094_03228028_03228024.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:53:48.024
cpb-aacip-058a21352e3_03765094_03254655_03254651.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:54:14.651
cpb-aacip-058a21352e3_03765094_03329530_03329526.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:55:29.526
cpb-aacip-058a21352e3_03765094_03359893_03359889.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:55:59.889
cpb-aacip-058a21352e3_03765094_03375142_03375138.jpg,https://americanarchive.org/catalog/cpb-aacip-058a21352e3,00:56:15.138
cpb-aacip-225-0000006t_03780076_00923390_00923389.jpg,https://americanarchive.org/catalog/cpb-aacip-225-0000006t,00:15:23.389
cpb-aacip-225-0000006t_03780076_02383650_02383647.jpg,https://americanarchive.org/catalog/cpb-aacip-225-0000006t,00:39:43.647
cpb-aacip-225-0000006t_03780076_03134501_03134498.jpg,https://americanarchive.org/catalog/cpb-aacip-225-0000006t,00:52:14.498
cpb-aacip-225-0000006t_03780076_03515282_03515278.jpg,https://americanarchive.org/catalog/cpb-aacip-225-0000006t,00:58:35.278
cpb-aacip-225-01pg4ftd_01785183_00224758_00224757.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:03:44.757
cpb-aacip-225-01pg4ftd_01785183_00264264_00264264.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:04:24.264
cpb-aacip-225-01pg4ftd_01785183_00275876_00275875.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:04:35.875
cpb-aacip-225-01pg4ftd_01785183_00325392_00325391.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:05:25.391
cpb-aacip-225-01pg4ftd_01785183_00365399_00365398.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:06:05.398
cpb-aacip-225-01pg4ftd_01785183_00385519_00385518.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:06:25.518
cpb-aacip-225-01pg4ftd_01785183_00420020_00420019.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:07:00.019
cpb-aacip-225-01pg4ftd_01785183_00435269_00435268.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:07:15.268
cpb-aacip-225-01pg4ftd_01785183_00469136_00469135.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:07:49.135
cpb-aacip-225-01pg4ftd_01785183_00528028_00528027.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:08:48.027
cpb-aacip-225-01pg4ftd_01785183_00576877_00576876.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:09:36.876
cpb-aacip-225-01pg4ftd_01785183_00659526_00659525.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:10:59.525
cpb-aacip-225-01pg4ftd_01785183_00720020_00720019.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:12:00.019
cpb-aacip-225-01pg4ftd_01785183_00872406_00872404.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:14:32.404
cpb-aacip-225-01pg4ftd_01785183_00922523_00922521.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:15:22.521
cpb-aacip-225-01pg4ftd_01785183_01062529_01062528.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:17:42.528
cpb-aacip-225-01pg4ftd_01785183_01075008_01075007.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:17:55.007
cpb-aacip-225-01pg4ftd_01785183_01092259_01092257.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:18:12.257
cpb-aacip-225-01pg4ftd_01785183_01117885_01117883.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:18:37.883
cpb-aacip-225-01pg4ftd_01785183_01158525_01158524.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:19:18.524
cpb-aacip-225-01pg4ftd_01785183_01172406_01172404.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:19:32.404
cpb-aacip-225-01pg4ftd_01785183_01186153_01186151.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:19:46.151
cpb-aacip-225-01pg4ftd_01785183_01195262_01195260.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:19:55.260
cpb-aacip-225-01pg4ftd_01785183_01224525_01224523.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:20:24.523
cpb-aacip-225-01pg4ftd_01785183_01249883_01249881.jpg,https://americanarchive.org/catalog/cpb-aacip-225-01pg4ftd,00:20:49.881
